Date,Month,Quarter,Year,Period
04-19-18,4,Q2 2018,2018,201804
04-20-18,4,Q2 2018,2018,201804
04-21-18,4,Q2 2018,2018,201804
04-22-18,4,Q2 2018,2018,201804
04-23-18,4,Q2 2018,2018,201804
04-24-18,4,Q2 2018,2018,201804
04-25-18,4,Q2 2018,2018,201804
04-26-18,4,Q2 2018,2018,201804
04-27-18,4,Q2 2018,2018,201804
04-28-18,4,Q2 2018,2018,201804
04-29-18,4,Q2 2018,2018,201804
04-30-18,4,Q2 2018,2018,201804
05-01-18,5,Q2 2018,2018,201805
05-02-18,5,Q2 2018,2018,201805
05-03-18,5,Q2 2018,2018,201805
05-04-18,5,Q2 2018,2018,201805
05-05-18,5,Q2 2018,2018,201805
05-06-18,5,Q2 2018,2018,201805
05-07-18,5,Q2 2018,2018,201805
05-08-18,5,Q2 2018,2018,201805
05-09-18,5,Q2 2018,2018,201805
05-10-18,5,Q2 2018,2018,201805
05-11-18,5,Q2 2018,2018,201805
05-12-18,5,Q2 2018,2018,201805
05-13-18,5,Q2 2018,2018,201805
05-14-18,5,Q2 2018,2018,201805
05-15-18,5,Q2 2018,2018,201805
05-16-18,5,Q2 2018,2018,201805
05-17-18,5,Q2 2018,2018,201805
05-18-18,5,Q2 2018,2018,201805
05-19-18,5,Q2 2018,2018,201805
05-20-18,5,Q2 2018,2018,201805
05-21-18,5,Q2 2018,2018,201805
05-22-18,5,Q2 2018,2018,201805
05-23-18,5,Q2 2018,2018,201805
05-24-18,5,Q2 2018,2018,201805
05-25-18,5,Q2 2018,2018,201805
05-26-18,5,Q2 2018,2018,201805
05-27-18,5,Q2 2018,2018,201805
05-28-18,5,Q2 2018,2018,201805
05-29-18,5,Q2 2018,2018,201805
05-30-18,5,Q2 2018,2018,201805
05-31-18,5,Q2 2018,2018,201805
06-01-18,6,Q2 2018,2018,201806
06-02-18,6,Q2 2018,2018,201806
06-03-18,6,Q2 2018,2018,201806
06-04-18,6,Q2 2018,2018,201806
06-05-18,6,Q2 2018,2018,201806
06-06-18,6,Q2 2018,2018,201806
06-07-18,6,Q2 2018,2018,201806
06-08-18,6,Q2 2018,2018,201806
06-09-18,6,Q2 2018,2018,201806
06-10-18,6,Q2 2018,2018,201806
06-11-18,6,Q2 2018,2018,201806
06-12-18,6,Q2 2018,2018,201806
06-13-18,6,Q2 2018,2018,201806
06-14-18,6,Q2 2018,2018,201806
06-15-18,6,Q2 2018,2018,201806
06-16-18,6,Q2 2018,2018,201806
